

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 11:58:09 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 9998-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 9999-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , ,       TDB-UT,
***********************************************************
$$SOE
b9760-Jan-01 00:00:00, -1843416.50000000, , , 422221.45619,
b9759-Jan-01 00:00:00, -1843051.50000000, , , 422148.62578,
b9758-Jan-01 00:00:00, -1842686.50000000, , , 422075.80165,
b9757-Jan-01 00:00:00, -1842321.50000000, , , 422002.98381,
b9756-Jan-01 00:00:00, -1841955.50000000, , , 421929.97277,
b9755-Jan-01 00:00:00, -1841590.50000000, , , 421857.16750,
b9754-Jan-01 00:00:00, -1841225.50000000, , , 421784.36852,
b9753-Jan-01 00:00:00, -1840860.50000000, , , 421711.57583,
b9752-Jan-01 00:00:00, -1840494.50000000, , , 421638.59000,
b9751-Jan-01 00:00:00, -1840129.50000000, , , 421565.80989,
b9750-Jan-01 00:00:00, -1839764.50000000, , , 421493.03606,
b9749-Jan-01 00:00:00, -1839399.50000000, , , 421420.26851,
b9748-Jan-01 00:00:00, -1839033.50000000, , , 421347.30791,
b9747-Jan-01 00:00:00, -1838668.50000000, , , 421274.55294,
b9746-Jan-01 00:00:00, -1838303.50000000, , , 421201.80426,
b9745-Jan-01 00:00:00, -1837938.50000000, , , 421129.06186,
b9744-Jan-01 00:00:00, -1837572.50000000, , , 421056.12647,
b9743-Jan-01 00:00:00, -1837207.50000000, , , 420983.39665,
b9742-Jan-01 00:00:00, -1836842.50000000, , , 420910.67312,
b9741-Jan-01 00:00:00, -1836477.50000000, , , 420837.95587,
b9740-Jan-01 00:00:00, -1836111.50000000, , , 420765.04570,
b9739-Jan-01 00:00:00, -1835746.50000000, , , 420692.34103,
b9738-Jan-01 00:00:00, -1835381.50000000, , , 420619.64265,
b9737-Jan-01 00:00:00, -1835016.50000000, , , 420546.95055,
b9736-Jan-01 00:00:00, -1834650.50000000, , , 420474.06560,
b9735-Jan-01 00:00:00, -1834285.50000000, , , 420401.38608,
b9734-Jan-01 00:00:00, -1833920.50000000, , , 420328.71284,
b9733-Jan-01 00:00:00, -1833555.50000000, , , 420256.04589,
b9732-Jan-01 00:00:00, -1833189.50000000, , , 420183.18615,
b9731-Jan-01 00:00:00, -1832824.50000000, , , 420110.53178,
b9730-Jan-01 00:00:00, -1832459.50000000, , , 420037.88370,
b9729-Jan-01 00:00:00, -1832094.50000000, , , 419965.24189,
b9728-Jan-01 00:00:00, -1831728.50000000, , , 419892.40738,
b9727-Jan-01 00:00:00, -1831363.50000000, , , 419819.77816,
b9726-Jan-01 00:00:00, -1830998.50000000, , , 419747.15522,
b9725-Jan-01 00:00:00, -1830633.50000000, , , 419674.53856,
b9724-Jan-01 00:00:00, -1830267.50000000, , , 419601.72926,
b9723-Jan-01 00:00:00, -1829902.50000000, , , 419529.12519,
b9722-Jan-01 00:00:00, -1829537.50000000, , , 419456.52740,
b9721-Jan-01 00:00:00, -1829172.50000000, , , 419383.93589,
b9720-Jan-01 00:00:00, -1828806.50000000, , , 419311.15181,
b9719-Jan-01 00:00:00, -1828441.50000000, , , 419238.57289,
b9718-Jan-01 00:00:00, -1828076.50000000, , , 419166.00025,
b9717-Jan-01 00:00:00, -1827711.50000000, , , 419093.43389,
b9716-Jan-01 00:00:00, -1827345.50000000, , , 419020.67503,
b9715-Jan-01 00:00:00, -1826980.50000000, , , 418948.12125,
b9714-Jan-01 00:00:00, -1826615.50000000, , , 418875.57376,
b9713-Jan-01 00:00:00, -1826250.50000000, , , 418803.03255,
b9712-Jan-01 00:00:00, -1825884.50000000, , , 418730.29891,
b9711-Jan-01 00:00:00, -1825519.50000000, , , 418657.77028,
b9710-Jan-01 00:00:00, -1825154.50000000, , , 418585.24794,
b9709-Jan-01 00:00:00, -1824789.50000000, , , 418512.73188,
b9708-Jan-01 00:00:00, -1824423.50000000, , , 418440.02345,
b9707-Jan-01 00:00:00, -1824058.50000000, , , 418367.51998,
b9706-Jan-01 00:00:00, -1823693.50000000, , , 418295.02278,
