1757,2362869.917516016
1756,2362504.6787279793
1755,2362139.4326292365
1754,2361774.189717392
1753,2361408.9448660607
1752,2361043.6993014235
1751,2360678.463916374
1750,2360313.2168536456
1749,2359947.9690025705
1748,2359582.7321148277
1747,2359217.487105816
1746,2358852.2486948348
1745,2358487.009132402
1744,2358121.7649904033
1743,2357756.5330235367
1742,2357391.2876937226
1741,2357026.0431246725
1740,2356660.8074434926
1739,2356295.5609019413
1738,2355930.315364013
1737,2355565.0686403215
1736,2355199.818574387
1735,2354834.582347892
1734,2354469.337749918
1733,2354104.0913941427
1732,2353738.8566493522
1731,2353373.6122662495
1730,2353008.3689707927
1729,2352643.130537796
1728,2352277.885323213
1727,2351912.651799048
1726,2351547.4076599223
1725,2351182.1582131386
1724,2350816.9227976063
1723,2350451.678670888
1722,2350086.435517984
1721,2349721.195454554
1720,2349355.949330264
1719,2348990.7112977197
1718,2348625.467610345
1717,2348260.2195216888
1716,2347894.9826417207
1715,2347529.738700284
1714,2347164.488893287
1713,2346799.2462571496
1712,2346433.999644542
1711,2346068.7628926765
1710,2345703.524592146
1709,2345338.2783671957
1708,2344973.045160734
1707,2344607.8045517444
1706,2344242.5583042633
1705,2343877.3209260623
1704,2343512.0755255464
1703,2343146.837120386
1702,2342781.5920216287
1701,2342416.3408271656
1700,2342051.101948916
1699,2341685.859569345
1698,2341320.612331064
1697,2340955.371456876
1696,2340590.1278186687
1695,2340224.8870678814
1694,2339859.6464687907
1693,2339494.4009973546
1692,2339129.164262701
1691,2338763.925078115
1690,2338398.6750324937
1689,2338033.433655642
1688,2337668.1919157677
1687,2337302.951983497
1686,2336937.7139827465
1685,2336572.468749866
1684,2336207.231036014
1683,2335841.9904994015
1682,2335476.7420450323
1681,2335111.500148987
1680,2334746.2569632726
1679,2334381.0128767076
1678,2334015.7666245205
1677,2333650.518814702
1676,2333285.2778887814
1675,2332920.0397012564
1674,2332554.79439795
1673,2332189.554232594
1672,2331824.315256929
1671,2331459.0747674853
1670,2331093.8351125782
1669,2330728.593103147
1668,2330363.3541792133
1667,2329998.1140190596
1666,2329632.864288272
1665,2329267.619330325
1664,2328902.3774779215
1663,2328537.13580607
1662,2328171.8921842943
1661,2327806.648394033
1660,2327441.406958225
1659,2327076.1652988596
1658,2326710.9205213375
1657,2326345.6761161443
1656,2325980.4376760437
1655,2325615.1950564305
1654,2325249.9489842216
1653,2324884.7075433466
1652,2324519.4675625507
1651,2324154.2303730464
1650,2323788.98817268
1649,2323423.7453349805
1648,2323058.50659175
1647,2322693.265329698
1646,2322328.020582528
1645,2321962.777869678
1644,2321597.536141218
1643,2321232.2902614204
1642,2320867.041546319
1641,2320501.7943995297
1640,2320136.552131275
1639,2319771.314480593
1638,2319406.0691750916
1637,2319040.829899351
1636,2318675.5920570814
1635,2318310.3504278976
1634,2317945.1107033677
1633,2317579.8673055954
1632,2317214.6280793347
1631,2316849.38772571
1630,2316484.1383815366
1629,2316118.8962789406
1628,2315753.6571833077
1627,2315388.414014259
1626,2315023.1710714144
1625,2314657.925455819
1624,2314292.6826808006
1623,2313927.443084493
1622,2313562.1955943564
1621,2313196.953674993
1620,2312831.716176845
1619,2312466.4685366917
1618,2312101.225010483
1617,2311735.9814522043
1616,2311370.740476938
1615,2311005.506277172
1614,2310640.260514826
1613,2310275.02066617
1612,2309909.785204805
1611,2309544.540246601
1610,2309179.2982675736
1609,2308814.055662092
1608,2308448.809675342
1607,2308083.5678507686
1606,2307718.3172384803
1605,2307353.0714444746
1604,2306987.836121131
1603,2306622.590576544
1602,2306257.3480708767
1601,2305892.108187549
1600,2305526.863381211
1599,2305161.6279213773
